#Vj [V]	VdwL [m/s]	err_VdwL [m/s]	VdwR [m/s]	err_VdwR [m/s]	VdwJ [m/s]	err_VdwJ [m/s]
2	1.94751234568e-05	7.08012624699e-06	1.4268245614e-05	4.62124304062e-06	1.68716845354e-05	5.85068464381e-06
4	0.00101479333333	0.000181282003029	0.00084264375	7.89034454947e-05	0.000928718541667	0.000130092724262
6	0.00505275	0.000515802482922	0.00412333333333	0.00064210523973	0.00458804166667	0.000578953861326
8	0.012055	0.000741907271834	0.0108544	0.00112525083426	0.0114547	0.000933579053046
10	0.025611	0.00184134543201	0.02213	0.00173327066553	0.0238705	0.00178730804877
12	0.0429725	0.00158405137227	0.0428	0.00390930556493	0.04288625	0.0027466784686
14	0.076685	0.00446144875573	0.06563	0.00526454493127	0.0711575	0.0048629968435
16	0.100095	0.00460635702047	0.090872	0.00685025079833	0.0954835	0.0057283039094
18	0.155764	0.0187253812778	0.128605	0.0141648464517	0.1421845	0.0164451138648
20	0.186416666667	0.00701096363641	0.171045833333	0.0170046700081	0.17873125	0.0120078168222
22	0.240383333333	0.00902039356126	0.2223375	0.0111932914867	0.231360416667	0.010106842524
24	0.32818125	0.0103413063579	0.28909375	0.0145026331122	0.3086375	0.012421969735
26	0.39301875	0.00696628880305	0.33895625	0.0273160917261	0.3659875	0.0171411902646
28	0.4729125	0.0140808546882	0.40401	0.0466336080526	0.43846125	0.0303572313704
30	0.5436375	0.0043033961879	0.49145	0.0161834019909	0.51754375	0.0102433990894
32	0.640916666667	0.0460739110319	0.602213333333	0.0245843093592	0.621565	0.0353291101955
34	0.73457	0.0254985803526	0.6643375	0.0309272003057	0.69945375	0.0282128903292
36	0.9464	0.053435082109	0.772525	0.0738018419486	0.8594625	0.0636184620288
38	1.032625	0.0488056029058	0.892	0.0278017085806	0.9623125	0.0383036557432
40	1.150775	0.05829555622	0.95045	0.0342158954289	1.0506125	0.0462557258244
44	1.390625	0.0587591748155	1.19515625	0.0667951260736	1.292890625	0.0627771504446
48	1.791875	0.0161406039919	1.56620833333	0.0401938661365	1.67904166667	0.0281672350642
52	1.952375	0.0833176808217	1.674	0.0739425452632	1.8131875	0.0786301130424
56	2.11545833333	0.0470790374146	2.05208333333	0.0673054294491	2.08377083333	0.0571922334319
60	2.6687	0.100380451284	2.4594375	0.0916645335926	2.56406875	0.0960224924384
64	2.94375	0.0469154825191	2.4724375	0.11676477088	2.70809375	0.0818401266997
68	3.388625	0.23347306456	3.1058125	0.111703482348	3.24721875	0.172588273454
72	3.999375	0.105376334511	3.62	0.270263066289	3.8096875	0.1878197004
76	4.377125	0.119366753642	3.72675	0.223012471624	4.0519375	0.171189612633
80	4.9685	0.202450611261	4.159125	0.0543775861454	4.5638125	0.128414098703
86	5.455625	0.120255652154	4.887625	0.192732124658	5.171625	0.156493888406
92	6.076375	0.26981553305	5.34675	0.22246614911	5.7115625	0.24614084108
98	6.780375	0.232556276791	6.12975	0.234144586741	6.4550625	0.233350431766
