#Vj [V]	VdwJ [m/s]	err_VdwJ [m/s]	VdwH [m/s]	err_VdwH [m/s]
2.0	3.36569949027	0.420242662042	2.05065	0.401941954765
4.0	3.07575736437	0.143775	1.885275	0.103275
6.0	2.08591720833	0.296920216557	1.65375	0.22168792254
8.0	2.6173047	0.070875	2.071575	0.030375
10.0	1.3237955	0.103800867048	1.64025	0.069678834663
12.0	1.20903	0.0806165925849	1.6092	0.0926103935852
14.0	1.0416825	0.0451392844427	1.6578	0.0893655134825
16.0	1.0689785	0.0452237406541	1.5703875	0.0799490413873
18.0	1.09892325	0.0174979998857	1.7118	0.0275347053734
20.0	1.20069875	0.04293	1.77552	0.03402
22.0	1.32206979167	0.0486	1.67265	0.0081
24.0	1.36038125	0.132107002085	1.8387	0.0402290939495
26.0	1.48020625	0.0250387699378	1.8252	0.0642350371682
28.0	1.535431875	0.048631630332	1.8842625	0.0555584869192
30.0	1.594778125	0.0386109440444	1.99935	0.0426480362971
32.0	1.6602175	0.0215154595582	2.0277	0.0569245553342
34.0	1.648273125	0.0591848375853	2.0412	0.13781906617
36.0	1.52145	0.00505123747215	1.96425	0.0892839011244
38.0	1.57545	0.0516275725751	2.0574	0.0680713320716
40.0	1.654425	0.022275	1.990575	0.058725
42.0	1.72125	0.03645	2.0655	0.00809999999999
44.0	1.8657	0.0917205538579	2.106	0.0476915086782
46.0	2.0169	3.78128336774e-15	2.27205	0.00405
48.0	1.9733625	0.0374625	2.2264875	0.0799875
50.0	2.19105	0.0687307791313	2.31255	0.0751163098135
52.0	2.24559	0.0548914050649	2.50209	0.0613865648982
54.0	2.47725	0.143468864218	2.43135	0.15269926326
56.0	2.48535	0.0845880310682	2.44755	0.0807521207152
58.0	2.7355725	0.0548775	2.6590275	0.1034775
60.0	2.61549	0.116375324704	2.18569	0.0508704649084
62.0	2.6838	0.240041996326	2.173	0.0880713347236
64.0	3.0132	0.129092757349	2.1892	0.150862122483
66.0	3.04479	0.144599558091	2.13979	0.109427639105
68.0	3.3264	0.0376066483484	2.1676	0.0812695514938
70.0	3.4074	0.140192153846	2.1946	0.0992777920786
72.0	3.6126	0.0859770899717	2.146	0.0505123747214
74.0	3.54375	0.02025	2.13925	0.07695
76.0	3.969	0.0891	2.3134	0.0891
78.0	3.71385	0.11745	2.56045	0.15795
80.0	3.9771	0.254688869015	2.3431	0.0713331619936
82.0	4.46715	0.20655	2.61715	0.07695
84.0	4.08645	0.00404999999999	2.48755	0.01215
86.0	4.7358	0.449791151536	2.5564	0.489408050608
88.0	4.725	0.308958346707	2.3188	0.0842642272854
90.0	5.0058	0.286454603733	2.551	0.122901912109
92.0	4.9815	0.263799810462	2.4619	0.469536132795
94.0	5.1759	0.27563813234	2.3431	0.141897780109
96.0	5.8428	0.330769285152	2.8426	0.133806726288
98.0	6.01425	0.13365	2.77915	0.17415
